Gene_ID	COG_ID	COG_term	GO	Pfam_ID	Pfam_term	SwissProt_ID	SwissProt_term
fake_2M_genome_000200	-	-	-	A0A094K9I7_9BACL/31-242	A0A094K9I7_9BACL/31-242 A0A094K9I7.1 PF08812.10;YtxC;	sp|P06569|YTXC_BACSU	sp|P06569|YTXC_BACSU Uncharacterized protein YtxC OS=Bacillus subtilis (strain 168) GN=ytxC PE=4 SV=2
fake_2M_genome_000201	gi|20808507|ref|NP_623678.1|	gi|20808507|ref|NP_623678.1| membrane-bound metal-dependent hydrolase [Thermoanaerobacter tengcongensis MB4]	-	A0A0N1K3J5_THEVU/1-200	A0A0N1K3J5_THEVU/1-200 A0A0N1K3J5.1 PF04307.13;YdjM;	-	-
fake_2M_genome_000202	gi|337750992|ref|YP_004645154.1|	gi|337750992|ref|YP_004645154.1| radical SAM domain-containing protein [Paenibacillus mucilaginosus KNP414]	GO:0003824(catalytic activity);GO:0009234(menaquinone biosynthetic process);GO:0009234(menaquinone biosynthetic process)	A0A094JQF6_9BACL/59-233	A0A094JQF6_9BACL/59-233 A0A094JQF6.1 PF04055.20;Radical_SAM;	sp|Q9K864|MQNC_BACHD	sp|Q9K864|MQNC_BACHD Cyclic dehypoxanthine futalosine synthase OS=Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) GN=mqnC PE=1 SV=1
fake_2M_genome_000203	-	-	-	-	-	-	-
fake_2M_genome_000204	gi|30264649|ref|NP_847026.1|	gi|30264649|ref|NP_847026.1| DNA replication protein DnaB [Bacillus anthracis str. Ames]	GO:0000166(nucleotide binding)	A0A094M1H7_9BACL/330-402	A0A094M1H7_9BACL/330-402 A0A094M1H7.1 PF07261.10;DnaB_2;	sp|P07908|DNAB_BACSU	sp|P07908|DNAB_BACSU Replication initiation and membrane attachment protein OS=Bacillus subtilis (strain 168) GN=dnaB PE=1 SV=1
fake_2M_genome_000205	gi|15615708|ref|NP_244012.1|	gi|15615708|ref|NP_244012.1| NrdR family transcriptional regulator [Bacillus halodurans C-125]	GO:0000166(nucleotide binding);GO:0008270(zinc ion binding)	A0A094JTN5_9BACL/49-137	A0A094JTN5_9BACL/49-137 A0A094JTN5.1 PF03477.15;ATP-cone;	sp|Q9K861|NRDR_BACHD	sp|Q9K861|NRDR_BACHD Transcriptional repressor NrdR OS=Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) GN=nrdR PE=3 SV=1
fake_2M_genome_000206	gi|375008858|ref|YP_004982491.1|	gi|375008858|ref|YP_004982491.1| glutathione peroxidase [Geobacillus thermoleovorans CCB_US3_UF5]	GO:0004601(peroxidase activity);GO:0004602(glutathione peroxidase activity);GO:0098869(cellular oxidant detoxification)	A0A094JN71_9BACL/3-110	A0A094JN71_9BACL/3-110 A0A094JN71.1 PF00255.18;GSHPx;	sp|Q8CSR9|BSAA_STAES	sp|Q8CSR9|BSAA_STAES Glutathione peroxidase homolog BsaA OS=Staphylococcus epidermidis (strain ATCC 12228) GN=bsaA PE=3 SV=1
fake_2M_genome_000207	gi|226310996|ref|YP_002770890.1|	gi|226310996|ref|YP_002770890.1| glyceraldehyde 3-phosphate dehydrogenase [Brevibacillus brevis NBRC 100599]	GO:0006006(glucose metabolic process);GO:0006094(gluconeogenesis);GO:0006094(gluconeogenesis);GO:0043891(glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) activity);GO:0000166(nucleotide binding);GO:0004365(glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity);GO:0005737(cytoplasm)	A0A094K9J2_9BACL/157-313	A0A094K9J2_9BACL/157-313 A0A094K9J2.1 PF02800.19;Gp_dh_C;	sp|O34425|G3P2_BACSU	sp|O34425|G3P2_BACSU Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Bacillus subtilis (strain 168) GN=gapB PE=1 SV=1
fake_2M_genome_000208	gi|337745577|ref|YP_004639739.1|	gi|337745577|ref|YP_004639739.1| lytic transglycosylase [Paenibacillus mucilaginosus KNP414]	GO:0085027(entry into host via enzymatic degradation of host anatomical structure);GO:0000270(peptidoglycan metabolic process);GO:0003824(catalytic activity);GO:0019012(virion)	A0A094JQG0_9BACL/29-148	A0A094JQG0_9BACL/29-148 A0A094JQG0.1 PF01464.19;SLT;	sp|O64046|TMP_BPSPB	sp|O64046|TMP_BPSPB Probable tape measure protein OS=Bacillus phage SPbeta GN=yomI PE=3 SV=1
fake_2M_genome_000209	gi|295696993|ref|YP_003590231.1|	gi|295696993|ref|YP_003590231.1| dephospho-CoA kinase [Kyrpidia tusciae DSM 2912]	GO:0005737(cytoplasm);GO:0015937(coenzyme A biosynthetic process);GO:0000166(nucleotide binding);GO:0004140(dephospho-CoA kinase activity);GO:0004140(dephospho-CoA kinase activity)	A0A094M1H8_9BACL/1-183	A0A094M1H8_9BACL/1-183 A0A094M1H8.1 PF01121.19;CoaE;	sp|Q71ZA4|COAE_LISMF	sp|Q71ZA4|COAE_LISMF Dephospho-CoA kinase OS=Listeria monocytogenes serotype 4b (strain F2365) GN=coaE PE=3 SV=1
fake_2M_genome_000210	gi|15615713|ref|NP_244017.1|	gi|15615713|ref|NP_244017.1| hypothetical protein BH3151 [Bacillus halodurans C-125]	GO:0005886(plasma membrane);GO:0005886(plasma membrane)	A0A094JTN9_9BACL/115-219	A0A094JTN9_9BACL/115-219 A0A094JTN9.1 PF02659.14;Mntp;	sp|C0SP79|YTAF_BACSU	sp|C0SP79|YTAF_BACSU Putative membrane protein YtaF OS=Bacillus subtilis (strain 168) GN=ytaF PE=4 SV=1
fake_2M_genome_000211	gi|430749586|ref|YP_007212494.1|	gi|430749586|ref|YP_007212494.1| formamidopyrimidine-DNA glycosylase Fpg [Thermobacillus composti KWC4]	GO:0003676(nucleic acid binding);GO:0003677(DNA binding);GO:0003906(DNA-(apurinic or apyrimidinic site) lyase activity)	A0A094JN76_9BACL/1-117	A0A094JN76_9BACL/1-117 A0A094JN76.1 PF01149.23;Fapy_DNA_glyco;	sp|Q65G93|FPG_BACLD	sp|Q65G93|FPG_BACLD Formamidopyrimidine-DNA glycosylase OS=Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / NBRC 12200 / NCIMB 9375 / NRRL NRS-1264 / Gibson 46) GN=mutM PE=3 SV=3
fake_2M_genome_000212	gi|15615715|ref|NP_244019.1|	gi|15615715|ref|NP_244019.1| DNA polymerase I [Bacillus halodurans C-125]	GO:0003887(DNA-directed DNA polymerase activity);GO:0071897(DNA biosynthetic process);GO:0003676(nucleic acid binding);GO:0003677(DNA binding);GO:0003887(DNA-directed DNA polymerase activity)	A0A094K9J4_9BACL/504-880	A0A094K9J4_9BACL/504-880 A0A094K9J4.1 PF00476.19;DNA_pol_A;	sp|O34996|DPO1_BACSU	sp|O34996|DPO1_BACSU DNA polymerase I OS=Bacillus subtilis (strain 168) GN=polA PE=3 SV=1
fake_2M_genome_000213	-	-	-	-	-	-	-
fake_2M_genome_000214	gi|15614782|ref|NP_243085.1|	gi|15614782|ref|NP_243085.1| transcriptional regulator [Bacillus halodurans C-125]	GO:0003677(DNA binding);GO:0003677(DNA binding)	A0A0D1Y336_ANEMI/60-328	A0A0D1Y336_ANEMI/60-328 A0A0D1Y336.1 PF00532.20;Peripla_BP_1;	sp|P37947|DEGA_BACSU	sp|P37947|DEGA_BACSU HTH-type transcriptional regulator DegA OS=Bacillus subtilis (strain 168) GN=degA PE=1 SV=1
fake_2M_genome_000215	gi|15614783|ref|NP_243086.1|	gi|15614783|ref|NP_243086.1| dehydrogenase [Bacillus halodurans C-125]	GO:0050112(inositol 2-dehydrogenase activity);GO:0006020(inositol metabolic process);GO:0008152(metabolic process);GO:0016491(oxidoreductase activity)	Q9KAR7_BACHD/137-251	Q9KAR7_BACHD/137-251 Q9KAR7.1 PF02894.16;GFO_IDH_MocA_C;	sp|Q9WYP5|IOLG_THEMA	sp|Q9WYP5|IOLG_THEMA Myo-inositol 2-dehydrogenase OS=Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099) GN=iolG PE=1 SV=1
fake_2M_genome_000216	gi|269122599|ref|YP_003310776.1|	gi|269122599|ref|YP_003310776.1| myo-inosose-2 dehydratase [Sebaldella termitidis ATCC 33386]	GO:0016829(lyase activity);GO:0019310(inositol catabolic process);GO:0050114(myo-inosose-2 dehydratase activity)	A0A099SDJ5_9CLOT/34-250	A0A099SDJ5_9CLOT/34-250 A0A099SDJ5.1 PF01261.23;AP_endonuc_2;	sp|B2V4K2|IOLE_CLOBA	sp|B2V4K2|IOLE_CLOBA Inosose dehydratase OS=Clostridium botulinum (strain Alaska E43 / Type E3) GN=iolE PE=3 SV=1
fake_2M_genome_000217	gi|30262509|ref|NP_844886.1|	gi|30262509|ref|NP_844886.1| IolD protein [Bacillus anthracis str. Ames]	GO:0000287(magnesium ion binding);GO:0016787(hydrolase activity);GO:0102481(3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase activity)	B8F6Y6_HAEPS/6-198	B8F6Y6_HAEPS/6-198 B8F6Y6.1 PF02776.17;TPP_enzyme_N;	sp|A4IPB6|IOLD_GEOTN	sp|A4IPB6|IOLD_GEOTN 3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase OS=Geobacillus thermodenitrificans (strain NG80-2) GN=iolD PE=3 SV=1
fake_2M_genome_000218	gi|23100191|ref|NP_693658.1|	gi|23100191|ref|NP_693658.1| methylmalonate-semialdehyde dehydrogenase [Oceanobacillus iheyensis HTE831]	GO:0004491(methylmalonate-semialdehyde dehydrogenase (acylating) activity);GO:0004491(methylmalonate-semialdehyde dehydrogenase (acylating) activity);GO:0016491(oxidoreductase activity)	A0A0U4EA83_9BACI/19-483	A0A0U4EA83_9BACI/19-483 A0A0U4EA83.1 PF00171.21;Aldedh;	sp|Q8EMV4|IOLA2_OCEIH	sp|Q8EMV4|IOLA2_OCEIH Methylmalonate semialdehyde dehydrogenase [acylating] 2 OS=Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831) GN=iolA2 PE=3 SV=1
fake_2M_genome_000219	gi|30262507|ref|NP_844884.1|	gi|30262507|ref|NP_844884.1| IolC protein [Bacillus anthracis str. Ames]	GO:0000166(nucleotide binding);GO:0016310(phosphorylation);GO:0047590(5-dehydro-2-deoxygluconokinase activity)	A0A024P547_9BACI/12-317	A0A024P547_9BACI/12-317 A0A024P547.1 PF00294.23;PfkB;	sp|Q6HIK4|IOLC_BACHK	sp|Q6HIK4|IOLC_BACHK 5-dehydro-2-deoxygluconokinase OS=Bacillus thuringiensis subsp. konkukian (strain 97-27) GN=iolC PE=3 SV=1
fake_2M_genome_000220	gi|307546830|ref|YP_003899309.1|	gi|307546830|ref|YP_003899309.1| myo-inositol catabolism protein IolB [Halomonas elongata DSM 2581]	GO:0008880(glucuronate isomerase activity);GO:0016853(isomerase activity);GO:0102482(5-deoxy-D-glucuronate isomerase activity)	A0A0H4KHP9_9BACI/4-264	A0A0H4KHP9_9BACI/4-264 A0A0H4KHP9.1 PF04962.11;KduI;	sp|A4IPB4|IOLB_GEOTN	sp|A4IPB4|IOLB_GEOTN 5-deoxy-glucuronate isomerase OS=Geobacillus thermodenitrificans (strain NG80-2) GN=iolB PE=3 SV=1
fake_2M_genome_000221	gi|508607165|ref|YP_006993063.2|	gi|508607165|ref|YP_006993063.2| dehydrogenase [Carnobacterium maltaromaticum LMA28]	GO:0008152(metabolic process);GO:0016491(oxidoreductase activity)	A0A0M2VTL1_9BACL/7-125	A0A0M2VTL1_9BACL/7-125 A0A0M2VTL1.1 PF01408.21;GFO_IDH_MocA;	sp|O05389|YRBE_BACSU	sp|O05389|YRBE_BACSU Uncharacterized oxidoreductase YrbE OS=Bacillus subtilis (strain 168) GN=yrbE PE=3 SV=2
fake_2M_genome_000222	gi|15614785|ref|NP_243088.1|	gi|15614785|ref|NP_243088.1| symporter YidK [Bacillus halodurans C-125]	GO:0005886(plasma membrane);GO:0005887(integral component of plasma membrane);GO:0006012(galactose metabolic process);GO:0005215(transporter activity);GO:0005886(plasma membrane);GO:0005886(plasma membrane)	M7NCR8_9BACL/35-440	M7NCR8_9BACL/35-440 M7NCR8.1 PF00474.16;SSF;	sp|P31448|YIDK_ECOLI	sp|P31448|YIDK_ECOLI Uncharacterized symporter YidK OS=Escherichia coli (strain K12) GN=yidK PE=1 SV=1
fake_2M_genome_000223	-	-	-	C5DAY0_GEOSW/5-53	C5DAY0_GEOSW/5-53 C5DAY0.1 PF04320.13;DUF469;	-	-
fake_2M_genome_000224	-	-	-	-	-	-	-
fake_2M_genome_000225	-	-	-	-	-	-	-
fake_2M_genome_000226	-	-	-	-	-	-	-
fake_2M_genome_000227	-	-	-	F5SKN5_9BACL/33-150	F5SKN5_9BACL/33-150 F5SKN5.1 PF14430.5;Imm1;	-	-
fake_2M_genome_000228	-	-	-	-	-	-	-
fake_2M_genome_000229	-	-	-	-	-	-	-
fake_2M_genome_000230	gi|295697097|ref|YP_003590335.1|	gi|295697097|ref|YP_003590335.1| phosphate ABC transporter ATPase [Kyrpidia tusciae DSM 2912]	GO:0015415(ATPase-coupled phosphate ion transmembrane transporter activity);GO:0099133(ATP hydrolysis coupled anion transmembrane transport);GO:0000166(nucleotide binding);GO:0005315(inorganic phosphate transmembrane transporter activity);GO:0005886(plasma membrane)	A0A094JQG6_9BACL/20-176	A0A094JQG6_9BACL/20-176 A0A094JQG6.1 PF00005.26;ABC_tran;	sp|Q3AAA4|PSTB_CARHZ	sp|Q3AAA4|PSTB_CARHZ Phosphate import ATP-binding protein PstB OS=Carboxydothermus hydrogenoformans (strain ATCC BAA-161 / DSM 6008 / Z-2901) GN=pstB PE=3 SV=1
fake_2M_genome_000231	gi|15669201|ref|NP_248006.1|	gi|15669201|ref|NP_248006.1| phosphate ABC transporter ATP-binding protein [Methanocaldococcus jannaschii DSM 2661]	GO:0015415(ATPase-coupled phosphate ion transmembrane transporter activity);GO:0099133(ATP hydrolysis coupled anion transmembrane transport);GO:0000166(nucleotide binding);GO:0005315(inorganic phosphate transmembrane transporter activity);GO:0005886(plasma membrane)	A0A094M1I5_9BACL/19-174	A0A094M1I5_9BACL/19-174 A0A094M1I5.1 PF00005.26;ABC_tran;	sp|Q58418|PSTB_METJA	sp|Q58418|PSTB_METJA Phosphate import ATP-binding protein PstB OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) GN=pstB PE=3 SV=1
fake_2M_genome_000232	gi|226310064|ref|YP_002769958.1|	gi|226310064|ref|YP_002769958.1| phosphate ABC transporter permease [Brevibacillus brevis NBRC 100599]	GO:0005315(inorganic phosphate transmembrane transporter activity);GO:0005886(plasma membrane);GO:0005886(plasma membrane)	A0A094JTP5_9BACL/81-294	A0A094JTP5_9BACL/81-294 A0A094JTP5.1 PF00528.21;BPD_transp_1;	sp|P46340|YQGI_BACSU	sp|P46340|YQGI_BACSU Probable ABC transporter permease protein YqgI OS=Bacillus subtilis (strain 168) GN=yqgI PE=3 SV=2
fake_2M_genome_000233	gi|29376307|ref|NP_815461.1|	gi|29376307|ref|NP_815461.1| phosphate ABC transporter permease [Enterococcus faecalis V583]	GO:0055085(transmembrane transport);GO:0005315(inorganic phosphate transmembrane transporter activity);GO:0005886(plasma membrane);GO:0005886(plasma membrane)	A0A094JN83_9BACL/99-302	A0A094JN83_9BACL/99-302 A0A094JN83.1 PF00528.21;BPD_transp_1;	sp|P46339|YQGH_BACSU	sp|P46339|YQGH_BACSU Probable ABC transporter permease protein YqgH OS=Bacillus subtilis (strain 168) GN=yqgH PE=3 SV=2
fake_2M_genome_000234	gi|16801704|ref|NP_471972.1|	gi|16801704|ref|NP_471972.1| hypothetical protein lin2642 [Listeria innocua Clip11262]	GO:0006817(phosphate ion transport);GO:0005886(plasma membrane);GO:0005886(plasma membrane);GO:0006810(transport)	A0A094K9K3_9BACL/26-267	A0A094K9K3_9BACL/26-267 A0A094K9K3.1 PF12849.6;PBP_like_2;	sp|P46338|PSTS_BACSU	sp|P46338|PSTS_BACSU Phosphate-binding protein PstS OS=Bacillus subtilis (strain 168) GN=pstS PE=3 SV=1
fake_2M_genome_000235	gi|337745562|ref|YP_004639724.1|	gi|337745562|ref|YP_004639724.1| PAS/PAC sensor signal transduction histidine kinase [Paenibacillus mucilaginosus KNP414]	GO:0005622(intracellular);GO:0005886(plasma membrane);GO:0000155(phosphorelay sensor kinase activity);GO:0000160(phosphorelay signal transduction system);GO:0004673(protein histidine kinase activity)	A0A094JQG9_9BACL/465-577	A0A094JQG9_9BACL/465-577 A0A094JQG9.1 PF02518.25;HATPase_c;	sp|P23545|PHOR_BACSU	sp|P23545|PHOR_BACSU Alkaline phosphatase synthesis sensor protein PhoR OS=Bacillus subtilis (strain 168) GN=phoR PE=1 SV=1
fake_2M_genome_000236	gi|226310980|ref|YP_002770874.1|	gi|226310980|ref|YP_002770874.1| two-component response regulator [Brevibacillus brevis NBRC 100599]	GO:0000160(phosphorelay signal transduction system);GO:0000160(phosphorelay signal transduction system);GO:0005737(cytoplasm)	A0A094M1J0_9BACL/5-115	A0A094M1J0_9BACL/5-115 A0A094M1J0.1 PF00072.23;Response_reg;	sp|P13792|PHOP_BACSU	sp|P13792|PHOP_BACSU Alkaline phosphatase synthesis transcriptional regulatory protein PhoP OS=Bacillus subtilis (strain 168) GN=phoP PE=1 SV=4
fake_2M_genome_000237	gi|386715052|ref|YP_006181375.1|	gi|386715052|ref|YP_006181375.1| MaoC family protein [Halobacillus halophilus DSM 2266]	GO:0005759(mitochondrial matrix);GO:0046949(fatty-acyl-CoA biosynthetic process);GO:0005730(nucleolus);GO:0005739(mitochondrion);GO:0005739(mitochondrion)	A0A094JTP8_9BACL/15-131	A0A094JTP8_9BACL/15-131 A0A094JTP8.1 PF01575.18;MaoC_dehydratas;	sp|P86397|HTD2_HUMAN	sp|P86397|HTD2_HUMAN Hydroxyacyl-thioester dehydratase type 2, mitochondrial OS=Homo sapiens GN=HTD2 PE=1 SV=1
fake_2M_genome_000238	gi|295696998|ref|YP_003590236.1|	gi|295696998|ref|YP_003590236.1| malate dehydrogenase [Kyrpidia tusciae DSM 2912]	GO:0003824(catalytic activity);GO:0006099(tricarboxylic acid cycle);GO:0030060(L-malate dehydrogenase activity)	A0A094JN86_9BACL/150-313	A0A094JN86_9BACL/150-313 A0A094JN86.1 PF02866.17;Ldh_1_C;	sp|Q59202|MDH_BACIS	sp|Q59202|MDH_BACIS Malate dehydrogenase OS=Bacillus israeli GN=mdh PE=3 SV=1
fake_2M_genome_000239	gi|384136332|ref|YP_005519046.1|	gi|384136332|ref|YP_005519046.1| isocitrate dehydrogenase [Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1]	GO:0006097(glyoxylate cycle);GO:0000287(magnesium ion binding);GO:0004450(isocitrate dehydrogenase (NADP+) activity);GO:0005515(protein binding)	A0A0N0Y890_THEVU/30-427	A0A0N0Y890_THEVU/30-427 A0A0N0Y890.1 PF00180.19;Iso_dh;	sp|P39126|IDH_BACSU	sp|P39126|IDH_BACSU Isocitrate dehydrogenase [NADP] OS=Bacillus subtilis (strain 168) GN=icd PE=1 SV=1
fake_2M_genome_000240	gi|430750798|ref|YP_007213706.1|	gi|430750798|ref|YP_007213706.1| 2-methylcitrate synthase/citrate synthase II [Thermobacillus composti KWC4]	GO:0003824(catalytic activity);GO:0005737(cytoplasm);GO:0006099(tricarboxylic acid cycle)	A0A094K4F3_9BACL/6-353	A0A094K4F3_9BACL/6-353 A0A094K4F3.1 PF00285.20;Citrate_synt;	sp|P39120|CISY2_BACSU	sp|P39120|CISY2_BACSU Citrate synthase 2 OS=Bacillus subtilis (strain 168) GN=citZ PE=1 SV=2
fake_2M_genome_000241	gi|449091549|ref|YP_007423990.1|	gi|449091549|ref|YP_007423990.1| hypothetical protein HD73_4891 [Bacillus thuringiensis serovar kurstaki str. HD73]	GO:0005215(transporter activity);GO:0005886(plasma membrane);GO:0005886(plasma membrane)	A0A094JK72_9BACL/12-360	A0A094JK72_9BACL/12-360 A0A094JK72.1 PF01594.15;AI-2E_transport;	sp|O34991|YTVI_BACSU	sp|O34991|YTVI_BACSU UPF0118 membrane protein YtvI OS=Bacillus subtilis (strain 168) GN=ytvI PE=3 SV=1
fake_2M_genome_000242	gi|15615724|ref|NP_244028.1|	gi|15615724|ref|NP_244028.1| FxsA [Bacillus halodurans C-125]	GO:0005886(plasma membrane);GO:0005886(plasma membrane);GO:0016020(membrane)	A0A094LWD8_9BACL/10-118	A0A094LWD8_9BACL/10-118 A0A094LWD8.1 PF04186.12;FxsA;	sp|O32064|YTZA_BACSU	sp|O32064|YTZA_BACSU UPF0716 protein YtzA OS=Bacillus subtilis (strain 168) GN=ytzA PE=3 SV=1
fake_2M_genome_000243	gi|20808231|ref|NP_623402.1|	gi|20808231|ref|NP_623402.1| thioesterase [Thermoanaerobacter tengcongensis MB4]	GO:0016787(hydrolase activity);GO:0016787(hydrolase activity)	A0A094JNG3_9BACL/20-105	A0A094JNG3_9BACL/20-105 A0A094JNG3.1 PF03061.21;4HBT;	sp|Q45061|YNEP_BACSU	sp|Q45061|YNEP_BACSU Putative acyl-CoA thioesterase YneP OS=Bacillus subtilis (strain 168) GN=yneP PE=3 SV=2
fake_2M_genome_000244	gi|226310971|ref|YP_002770865.1|	gi|226310971|ref|YP_002770865.1| pyruvate kinase [Brevibacillus brevis NBRC 100599]	GO:0006096(glycolytic process);GO:0000166(nucleotide binding);GO:0000287(magnesium ion binding);GO:0004743(pyruvate kinase activity)	A0A094JI15_9BACL/2-343	A0A094JI15_9BACL/2-343 A0A094JI15.1 PF00224.20;PK;	sp|Q02499|KPYK_GEOSE	sp|Q02499|KPYK_GEOSE Pyruvate kinase OS=Geobacillus stearothermophilus GN=pyk PE=1 SV=2
fake_2M_genome_000245	gi|15615726|ref|NP_244030.1|	gi|15615726|ref|NP_244030.1| 6-phosphofructokinase [Bacillus halodurans C-125]	GO:0005737(cytoplasm);GO:0006096(glycolytic process);GO:0046835(carbohydrate phosphorylation);GO:0000166(nucleotide binding);GO:0003872(6-phosphofructokinase activity);GO:0003872(6-phosphofructokinase activity)	A0A094K4F9_9BACL/3-275	A0A094K4F9_9BACL/3-275 A0A094K4F9.1 PF00365.19;PFK;	sp|Q9K843|PFKA_BACHD	sp|Q9K843|PFKA_BACHD ATP-dependent 6-phosphofructokinase OS=Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) GN=pfkA PE=3 SV=1
fake_2M_genome_000246	gi|337745549|ref|YP_004639711.1|	gi|337745549|ref|YP_004639711.1| protein AccA [Paenibacillus mucilaginosus KNP414]	GO:0005737(cytoplasm);GO:2001295(malonyl-CoA biosynthetic process);GO:0000166(nucleotide binding);GO:0003989(acetyl-CoA carboxylase activity);GO:0003989(acetyl-CoA carboxylase activity)	A0A094JK78_9BACL/4-147	A0A094JK78_9BACL/4-147 A0A094JK78.1 PF03255.13;ACCA;	sp|C5D664|ACCA_GEOSW	sp|C5D664|ACCA_GEOSW Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Geobacillus sp. (strain WCH70) GN=accA PE=3 SV=1
fake_2M_genome_000247	gi|15615728|ref|NP_244032.1|	gi|15615728|ref|NP_244032.1| acetyl-CoA carboxylase subunit beta [Bacillus halodurans C-125]	GO:0005737(cytoplasm);GO:2001295(malonyl-CoA biosynthetic process);GO:0000166(nucleotide binding);GO:0003989(acetyl-CoA carboxylase activity);GO:0003989(acetyl-CoA carboxylase activity)	A0A094LWE5_9BACL/59-250	A0A094LWE5_9BACL/59-250 A0A094LWE5.1 PF01039.21;Carboxyl_trans;	sp|Q9K841|ACCD_BACHD	sp|Q9K841|ACCD_BACHD Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) GN=accD PE=3 SV=1
fake_2M_genome_000248	gi|226310966|ref|YP_002770860.1|	gi|226310966|ref|YP_002770860.1| transcriptional regulator [Brevibacillus brevis NBRC 100599]	GO:0003677(DNA binding);GO:0003700(DNA binding transcription factor activity)	A0A0N1K3T0_THEVU/11-73	A0A0N1K3T0_THEVU/11-73 A0A0N1K3T0.1 PF00392.20;GntR;	sp|O07007|LUTR_BACSU	sp|O07007|LUTR_BACSU HTH-type transcriptional regulator LutR OS=Bacillus subtilis (strain 168) GN=lutR PE=1 SV=1
fake_2M_genome_000249	gi|226310965|ref|YP_002770859.1|	gi|226310965|ref|YP_002770859.1| NAD-dependent malic enzyme [Brevibacillus brevis NBRC 100599]	GO:0004470(malic enzyme activity);GO:0004471(malate dehydrogenase (decarboxylating) (NAD+) activity);GO:0016491(oxidoreductase activity)	A0A094JNG8_9BACL/161-385	A0A094JNG8_9BACL/161-385 A0A094JNG8.1 PF03949.14;Malic_M;	sp|O34962|MAO4_BACSU	sp|O34962|MAO4_BACSU Probable NAD-dependent malic enzyme 4 OS=Bacillus subtilis (strain 168) GN=ytsJ PE=3 SV=1
fake_2M_genome_000250	-	-	-	-	-	-	-
fake_2M_genome_000251	-	-	-	-	-	-	-
fake_2M_genome_000252	gi|295697006|ref|YP_003590244.1|	gi|295697006|ref|YP_003590244.1| phosphatidylglycerophosphatase A [Kyrpidia tusciae DSM 2912]	GO:0006629(lipid metabolic process);GO:0016311(dephosphorylation)	A0A094JK83_9BACL/4-151	A0A094JK83_9BACL/4-151 A0A094JK83.1 PF04608.12;PgpA;	sp|P54173|YPJQ_BACSU	sp|P54173|YPJQ_BACSU Uncharacterized protein YpjQ OS=Bacillus subtilis (strain 168) GN=ypjQ PE=1 SV=1
fake_2M_genome_000253	gi|337745545|ref|YP_004639707.1|	gi|337745545|ref|YP_004639707.1| DNA polymerase III DnaE [Paenibacillus mucilaginosus KNP414]	GO:0005737(cytoplasm);GO:0071897(DNA biosynthetic process);GO:0003676(nucleic acid binding);GO:0003887(DNA-directed DNA polymerase activity);GO:0003887(DNA-directed DNA polymerase activity)	A0A0N0YAH3_THEVU/296-718	A0A0N0YAH3_THEVU/296-718 A0A0N0YAH3.1 PF07733.11;DNA_pol3_alpha;	sp|O34623|DPO3A_BACSU	sp|O34623|DPO3A_BACSU DNA polymerase III subunit alpha OS=Bacillus subtilis (strain 168) GN=dnaE PE=3 SV=1
fake_2M_genome_000254	-	-	GO:0016020(membrane)	A0A094LWF0_9BACL/7-107	A0A094LWF0_9BACL/7-107 A0A094LWF0.1 PF14034.5;Spore_YtrH;	sp|C0H3P8|YTRH_BACSU	sp|C0H3P8|YTRH_BACSU Sporulation membrane protein YtrH OS=Bacillus subtilis (strain 168) GN=ytrH PE=1 SV=1
fake_2M_genome_000255	-	-	-	-	-	-	-
fake_2M_genome_000256	-	-	-	A0A094JI24_9BACL/9-95	A0A094JI24_9BACL/9-95 A0A094JI24.1 PF14007.5;YtpI;	-	-
fake_2M_genome_000257	gi|15615737|ref|NP_244041.1|	gi|15615737|ref|NP_244041.1| hypothetical protein BH3175 [Bacillus halodurans C-125]	GO:0003700(DNA binding transcription factor activity)	A0A094K4G7_9BACL/76-178	A0A094K4G7_9BACL/76-178 A0A094K4G7.1 PF07085.11;DRTGG;	sp|O34921|YTOI_BACSU	sp|O34921|YTOI_BACSU Uncharacterized protein YtoI OS=Bacillus subtilis (strain 168) GN=ytoI PE=4 SV=1
fake_2M_genome_000258	-	-	-	-	-	-	-
