Gene_ID	COG_ID	Identity	Align_Length	Mismatch	Gap	Q_start	Q_end	T_start	T_end	E_value	Score	Function
fake_2M_genome_000657	gi|15613124|ref|NP_241427.1|	83.9	93	15	0	1	93	1	93	3.9e-37	156.8	gi|15613124|ref|NP_241427.1| co-chaperonin GroES [Bacillus halodurans C-125]
fake_2M_genome_000659	gi|226310109|ref|YP_002770003.1|	44.2	240	133	1	8	246	3	242	1.7e-52	209.1	gi|226310109|ref|YP_002770003.1| sec-independent protein translocase protein [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000660	gi|375007058|ref|YP_004980689.1|	67.5	206	64	2	5	209	7	210	3.3e-74	281.2	gi|375007058|ref|YP_004980689.1| redox-sensing transcriptional repressor rex [Geobacillus thermoleovorans CCB_US3_UF5]
fake_2M_genome_000661	gi|226310105|ref|YP_002769999.1|	39.7	189	109	2	3	188	6	192	5.1e-31	137.5	gi|226310105|ref|YP_002769999.1| hypothetical protein BBR47_05180 [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000662	gi|226310104|ref|YP_002769998.1|	52.9	567	262	4	1	563	2	567	7.5e-164	580.5	gi|226310104|ref|YP_002769998.1| ABC transporter ATP-binding protein [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000663	gi|302391283|ref|YP_003827103.1|	41.5	313	179	2	12	321	4	315	1.3e-63	246.5	gi|302391283|ref|YP_003827103.1| urea amidolyase-like protein [Acetohalobium arabaticum DSM 5501]
fake_2M_genome_000664	gi|337751088|ref|YP_004645250.1|	57.6	250	106	0	6	255	7	256	1.6e-80	302.4	gi|337751088|ref|YP_004645250.1| hypothetical protein KNP414_06862 [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000665	gi|23100133|ref|NP_693599.1|	49.3	229	116	0	1	229	1	229	3.4e-64	248.1	gi|23100133|ref|NP_693599.1| hypothetical protein OB2678 [Oceanobacillus iheyensis HTE831]
fake_2M_genome_000666	gi|226310102|ref|YP_002769996.1|	67.7	331	107	0	7	337	27	357	3.8e-122	441	gi|226310102|ref|YP_002769996.1| O-sialoglycoprotein endopeptidase [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000667	gi|83590981|ref|YP_430990.1|	57.6	151	64	0	9	159	3	153	1.2e-44	182.6	gi|83590981|ref|YP_430990.1| 30S ribosomal protein S18P alanine acetyltransferase [Moorella thermoacetica ATCC 39073]
fake_2M_genome_000668	gi|30260435|ref|NP_842812.1|	46.6	236	120	2	1	236	1	230	1.3e-55	219.5	gi|30260435|ref|NP_842812.1| hypothetical protein BA_0259 [Bacillus anthracis str. Ames]
fake_2M_genome_000669	gi|147677076|ref|YP_001211291.1|	55.4	148	61	2	10	152	4	151	1e-37	159.5	gi|147677076|ref|YP_001211291.1| ATPase or kinase [Pelotomaculum thermopropionicum SI]
fake_2M_genome_000670	gi|226310098|ref|YP_002769992.1|	44.9	334	175	4	3	329	4	335	1.3e-71	273.1	gi|226310098|ref|YP_002769992.1| thiamin-monophosphate kinase [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000672	gi|193213902|ref|YP_001995101.1|	43.9	223	123	2	7	229	10	230	3.1e-35	151.8	gi|193213902|ref|YP_001995101.1| hypothetical protein Ctha_0183 [Chloroherpeton thalassium ATCC 35110]
fake_2M_genome_000674	gi|295695932|ref|YP_003589170.1|	58.1	341	139	2	2	342	4	340	9.9e-115	416.4	gi|295695932|ref|YP_003589170.1| UBA/THIF-type NAD/FAD binding protein [Kyrpidia tusciae DSM 2912]
fake_2M_genome_000675	gi|148658082|ref|YP_001278287.1|	56.1	296	130	0	1	296	1	296	9.1e-88	326.6	gi|148658082|ref|YP_001278287.1| 6-phosphogluconate dehydrogenase [Roseiflexus sp. RS-1]
fake_2M_genome_000677	gi|226310093|ref|YP_002769987.1|	64.4	719	243	5	1	710	1	715	5.4e-256	886.7	gi|226310093|ref|YP_002769987.1| hypothetical protein BBR47_05060 [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000680	gi|148378369|ref|YP_001252910.1|	36.5	386	237	3	71	449	102	486	2.3e-66	256.1	gi|148378369|ref|YP_001252910.1| sensor histidine kinase [Clostridium botulinum A str. ATCC 3502]
fake_2M_genome_000681	gi|30260446|ref|NP_842823.1|	56.4	225	98	0	8	232	6	230	1e-73	279.6	gi|30260446|ref|NP_842823.1| DNA-binding response regulator [Bacillus anthracis str. Ames]
fake_2M_genome_000682	gi|226309646|ref|YP_002769540.1|	43.2	183	104	0	3	185	10	192	4.8e-39	164.1	gi|226309646|ref|YP_002769540.1| hypothetical protein BBR47_00590 [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000683	gi|226310439|ref|YP_002770333.1|	69.2	415	125	2	12	426	8	419	8.4e-164	579.7	gi|226310439|ref|YP_002770333.1| glutamate dehydrogenase [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000684	gi|15613092|ref|NP_241395.1|	61.6	250	96	0	12	261	12	261	2.2e-82	308.5	gi|15613092|ref|NP_241395.1| RNA polymerase sigma factor SigB [Bacillus halodurans C-125]
fake_2M_genome_000685	gi|408355716|ref|YP_006844247.1|	54.2	155	70	1	4	157	2	156	1.3e-40	169.1	gi|408355716|ref|YP_006844247.1| anti-sigma B factor [Amphibacillus xylanus NBRC 15112]
fake_2M_genome_000686	gi|15613090|ref|NP_241393.1|	48.6	111	55	2	1	110	1	110	2.1e-21	104.8	gi|15613090|ref|NP_241393.1| positive regulator of sigma-B activity [Bacillus halodurans C-125]
fake_2M_genome_000687	gi|386712727|ref|YP_006179049.1|	49.7	328	162	1	9	336	11	335	2.1e-91	339	gi|386712727|ref|YP_006179049.1| indirect positive regulator of sigma-B activity [Halobacillus halophilus DSM 2266]
fake_2M_genome_000688	gi|226310087|ref|YP_002769981.1|	92.1	89	7	0	1	89	28	116	8.9e-39	162.2	gi|226310087|ref|YP_002769981.1| endoribonuclease EndoA [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000689	gi|295694897|ref|YP_003588135.1|	78.9	90	19	0	1	90	1	90	1.3e-29	131.7	gi|295694897|ref|YP_003588135.1| putative CopG family transcriptional regulator [Kyrpidia tusciae DSM 2912]
fake_2M_genome_000690	gi|449088967|ref|YP_007421408.1|	54	385	176	1	11	394	23	407	2.7e-119	431.8	gi|449088967|ref|YP_007421408.1| Alanine racemase [Bacillus thuringiensis serovar kurstaki str. HD73]
fake_2M_genome_000692	gi|212638045|ref|YP_002314565.1|	41.8	340	182	8	28	358	7	339	1.3e-64	250	gi|212638045|ref|YP_002314565.1| hypothetical protein Aflv_0196 [Anoxybacillus flavithermus WK1]
fake_2M_genome_000693	gi|297617947|ref|YP_003703106.1|	41	488	279	4	1	482	1	485	1.1e-98	363.6	gi|297617947|ref|YP_003703106.1| carbohydrate kinase [Syntrophothermus lipocalidus DSM 12680]
fake_2M_genome_000694	gi|449086894|ref|YP_007419335.1|	52.8	125	45	3	1	121	1	115	8.7e-24	112.8	gi|449086894|ref|YP_007419335.1| holo-(acyl-carrier-protein) synthase [Bacillus thuringiensis serovar kurstaki str. HD73]
fake_2M_genome_000695	gi|386713733|ref|YP_006180056.1|	46	367	193	3	1	363	1	366	1.3e-80	303.1	gi|386713733|ref|YP_006180056.1| ABC-type transport system permease [Halobacillus halophilus DSM 2266]
fake_2M_genome_000696	gi|386713734|ref|YP_006180057.1|	52	302	144	1	1	302	5	305	1.6e-84	315.8	gi|386713734|ref|YP_006180057.1| ABC-type transport system ATP-binding protein [Halobacillus halophilus DSM 2266]
fake_2M_genome_000697	gi|23098620|ref|NP_692086.1|	36.2	80	38	2	2	75	66	138	4.3e-07	57	gi|23098620|ref|NP_692086.1| hypothetical protein OB1165 [Oceanobacillus iheyensis HTE831]
fake_2M_genome_000699	gi|226310706|ref|YP_002770600.1|	74.3	463	119	0	1	463	17	479	2.4e-204	714.5	gi|226310706|ref|YP_002770600.1| lysine-specific permease [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000700	gi|386714266|ref|YP_006180589.1|	32.3	195	118	5	10	190	11	205	7e-20	100.5	gi|386714266|ref|YP_006180589.1| hypothetical protein HBHAL_2967 [Halobacillus halophilus DSM 2266]
fake_2M_genome_000701	gi|337746080|ref|YP_004640242.1|	45.9	170	92	0	1	170	1	170	1.3e-38	162.5	gi|337746080|ref|YP_004640242.1| hypothetical protein KNP414_01810 [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000703	gi|255767757|ref|NP_391201.2|	38.7	310	176	4	62	357	268	577	1.7e-56	223	gi|255767757|ref|NP_391201.2| sensor histidine kinase [Bacillus subtilis subsp. subtilis str. 168]
fake_2M_genome_000704	gi|255767758|ref|NP_391202.2|	51.1	237	113	2	9	243	1	236	2e-64	248.8	gi|255767758|ref|NP_391202.2| transcriptional regulator [Bacillus subtilis subsp. subtilis str. 168]
fake_2M_genome_000705	gi|169826926|ref|YP_001697084.1|	65.2	400	139	0	10	409	5	404	9.6e-149	529.6	gi|169826926|ref|YP_001697084.1| hypothetical protein Bsph_1346 [Lysinibacillus sphaericus C3-41]
fake_2M_genome_000706	gi|23097904|ref|NP_691370.1|	53.8	519	235	3	2	515	3	521	1e-126	456.8	gi|23097904|ref|NP_691370.1| ABC transporter ATP-binding protein [Oceanobacillus iheyensis HTE831]
fake_2M_genome_000707	gi|337751677|ref|YP_004645839.1|	69.1	609	187	1	1	608	1	609	3.2e-241	837.4	gi|337751677|ref|YP_004645839.1| protein GlmS [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000709	gi|386712516|ref|YP_006178838.1|	62	445	169	0	1	445	1	445	7.5e-163	576.6	gi|386712516|ref|YP_006178838.1| phosphoglucosamine mutase [Halobacillus halophilus DSM 2266]
fake_2M_genome_000710	gi|337751679|ref|YP_004645841.1|	32.9	410	259	8	1	397	1	407	5.3e-51	204.9	gi|337751679|ref|YP_004645841.1| hypothetical protein KNP414_07468 [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000711	gi|337751680|ref|YP_004645842.1|	57.4	265	109	2	1	263	1	263	2.4e-79	298.5	gi|337751680|ref|YP_004645842.1| hypothetical protein KNP414_07469 [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000712	gi|375006962|ref|YP_004980593.1|	69.8	298	89	1	4	300	2	299	3.4e-119	431	gi|375006962|ref|YP_004980593.1| arginase [Geobacillus thermoleovorans CCB_US3_UF5]
fake_2M_genome_000714	gi|30265419|ref|NP_847796.1|	69.3	225	69	0	1	225	1	225	1.9e-90	335.1	gi|30265419|ref|NP_847796.1| uracil-DNA glycosylase [Bacillus anthracis str. Ames]
fake_2M_genome_000716	gi|557827942|ref|YP_008800437.1|	62.3	138	52	0	1	138	1	138	1.1e-43	179.1	gi|557827942|ref|YP_008800437.1| peroxiredoxin [Exiguobacterium sp. MH3]
fake_2M_genome_000717	gi|226309848|ref|YP_002769742.1|	37.2	191	115	4	10	199	11	197	7.7e-22	107.1	gi|226309848|ref|YP_002769742.1| hypothetical protein BBR47_02610 [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000718	gi|226309847|ref|YP_002769741.1|	62	255	95	1	1	253	1	255	1.6e-88	328.9	gi|226309847|ref|YP_002769741.1| polysaccharide deacetylase precursor [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000719	gi|222150566|ref|YP_002559719.1|	28.3	244	144	8	1	220	1	237	1.7e-14	82.8	gi|222150566|ref|YP_002559719.1| hypothetical protein MCCL_0316 [Macrococcus caseolyticus JCSC5402]
fake_2M_genome_000721	gi|226309844|ref|YP_002769738.1|	69	365	103	6	1	357	1	363	2.5e-132	474.9	gi|226309844|ref|YP_002769738.1| protein mrp homolog salA [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000722	gi|15612802|ref|NP_241105.1|	56.3	238	102	1	1	238	1	236	1.1e-67	259.6	gi|15612802|ref|NP_241105.1| germination specific N-acetylmuramoyl-L-alanine amidase [Bacillus halodurans C-125]
fake_2M_genome_000724	gi|332666963|ref|YP_004449751.1|	64.3	269	93	2	3	271	9	274	8.5e-77	290	gi|332666963|ref|YP_004449751.1| zinc/iron permease [Haliscomenobacter hydrossis DSM 1100]
fake_2M_genome_000725	gi|374984819|ref|YP_004960314.1|	52.7	74	35	0	6	79	18	91	1.3e-15	85.5	gi|374984819|ref|YP_004960314.1| putative hydrolase [Streptomyces bingchenggensis BCW-1]
fake_2M_genome_000726	gi|374984819|ref|YP_004960314.1|	47.2	108	49	1	2	101	137	244	3.7e-19	97.4	gi|374984819|ref|YP_004960314.1| putative hydrolase [Streptomyces bingchenggensis BCW-1]
fake_2M_genome_000727	gi|30263101|ref|NP_845478.1|	84.7	536	78	2	11	546	15	546	3.3e-277	956.8	gi|30263101|ref|NP_845478.1| catalase [Bacillus anthracis str. Ames]
fake_2M_genome_000728	gi|386716391|ref|YP_006182715.1|	53.4	131	25	1	1	95	88	218	1.8e-26	121.3	gi|386716391|ref|YP_006182715.1| 5'-methylthioadenosine/S-adenosylhomocysteinenucleosidase [Halobacillus halophilus DSM 2266]
fake_2M_genome_000729	gi|408356667|ref|YP_006845198.1|	69	42	12	1	31	72	1	41	3.8e-08	60.1	gi|408356667|ref|YP_006845198.1| hypothetical protein AXY_13040 [Amphibacillus xylanus NBRC 15112]
fake_2M_genome_000730	gi|386713904|ref|YP_006180227.1|	77.3	66	15	0	1	66	51	116	1.9e-22	107.5	gi|386713904|ref|YP_006180227.1| hypothetical protein HBHAL_2606 [Halobacillus halophilus DSM 2266]
fake_2M_genome_000731	gi|226309842|ref|YP_002769736.1|	84.6	130	20	0	1	130	1	130	2e-55	218	gi|226309842|ref|YP_002769736.1| 30S ribosomal protein S9 [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000732	gi|337751699|ref|YP_004645861.1|	74.5	145	37	0	1	145	1	145	2.5e-59	231.1	gi|337751699|ref|YP_004645861.1| 50S ribosomal protein L13 [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000733	gi|226309840|ref|YP_002769734.1|	54.1	244	112	0	1	244	1	244	4.3e-70	267.7	gi|226309840|ref|YP_002769734.1| tRNA pseudouridine synthase A [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000734	gi|393198977|ref|YP_006460819.1|	52.9	263	124	0	1	263	2	264	3.4e-70	268.1	gi|393198977|ref|YP_006460819.1| cobalt ABC transporter permease CbiQ [Solibacillus silvestris StLB046]
fake_2M_genome_000735	gi|15896352|ref|NP_349701.1|	48.2	278	141	3	1	276	1	277	5e-67	257.7	gi|15896352|ref|NP_349701.1| cobalt transporter ATP-binding subunit [Clostridium acetobutylicum ATCC 824]
fake_2M_genome_000736	gi|302390987|ref|YP_003826807.1|	47.3	277	144	2	1	275	1	277	5e-72	274.2	gi|302390987|ref|YP_003826807.1| ABC transporter [Acetohalobium arabaticum DSM 5501]
fake_2M_genome_000737	gi|15612726|ref|NP_241029.1|	72.7	128	27	2	1	128	1	120	3.5e-44	180.6	gi|15612726|ref|NP_241029.1| 50S ribosomal protein L17 [Bacillus halodurans C-125]
fake_2M_genome_000738	gi|337751702|ref|YP_004645864.1|	86.9	314	41	0	4	317	1	314	2.6e-149	531.2	gi|337751702|ref|YP_004645864.1| protein RpoA [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000739	gi|337751703|ref|YP_004645865.1|	81.8	132	23	1	1	132	1	131	4.2e-53	210.3	gi|337751703|ref|YP_004645865.1| 30S ribosomal protein S11 [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000740	gi|295694863|ref|YP_003588101.1|	82.8	122	21	0	1	122	1	122	5.6e-52	206.5	gi|295694863|ref|YP_003588101.1| 30S ribosomal protein S13 [Kyrpidia tusciae DSM 2912]
fake_2M_genome_000741	gi|15612722|ref|NP_241025.1|	97.3	37	1	0	1	37	1	37	5.4e-14	78.6	gi|15612722|ref|NP_241025.1| 50S ribosomal protein L36 [Bacillus halodurans C-125]
fake_2M_genome_000742	gi|15612721|ref|NP_241024.1|	91.7	72	6	0	1	72	1	72	3.8e-32	139.8	gi|15612721|ref|NP_241024.1| translation initiation factor IF-1 [Bacillus halodurans C-125]
fake_2M_genome_000743	gi|430748637|ref|YP_007211545.1|	49.4	87	44	0	10	96	5	91	1.3e-17	92	gi|430748637|ref|YP_007211545.1| hypothetical protein Theco_0304 [Thermobacillus composti KWC4]
fake_2M_genome_000744	gi|15612719|ref|NP_241022.1|	76.2	248	59	0	1	248	1	248	3.6e-106	387.5	gi|15612719|ref|NP_241022.1| methionine aminopeptidase [Bacillus halodurans C-125]
fake_2M_genome_000745	gi|16077205|ref|NP_388018.1|	64.4	216	77	0	1	216	1	216	3e-80	301.2	gi|16077205|ref|NP_388018.1| adenylate kinase [Bacillus subtilis subsp. subtilis str. 168]
fake_2M_genome_000746	gi|337751708|ref|YP_004645870.1|	69	435	130	4	1	432	1	433	1e-164	582.8	gi|337751708|ref|YP_004645870.1| SecY protein [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000747	gi|15927811|ref|NP_375344.1|	69.9	146	44	0	1	146	1	146	6.3e-50	199.9	gi|15927811|ref|NP_375344.1| 50S ribosomal protein L15 [Staphylococcus aureus subsp. aureus N315]
fake_2M_genome_000748	gi|375006938|ref|YP_004980568.1|	79	62	13	0	1	62	1	62	2.4e-19	97.1	gi|375006938|ref|YP_004980568.1| 50S ribosomal protein L30 [Geobacillus thermoleovorans CCB_US3_UF5]
fake_2M_genome_000749	gi|15612714|ref|NP_241017.1|	75.8	165	40	0	8	172	2	166	1.7e-62	241.9	gi|15612714|ref|NP_241017.1| 30S ribosomal protein S5 [Bacillus halodurans C-125]
fake_2M_genome_000750	gi|430748630|ref|YP_007211538.1|	70.5	122	36	0	1	122	1	122	2e-41	171.4	gi|430748630|ref|YP_007211538.1| 50S ribosomal protein L18 [Thermobacillus composti KWC4]
fake_2M_genome_000751	gi|212637969|ref|YP_002314489.1|	71.9	178	50	0	1	178	1	178	1.6e-68	261.9	gi|212637969|ref|YP_002314489.1| 50S ribosomal protein L6 [Anoxybacillus flavithermus WK1]
fake_2M_genome_000752	gi|212637968|ref|YP_002314488.1|	85.6	132	19	0	1	132	1	132	1.2e-60	235.3	gi|212637968|ref|YP_002314488.1| 30S ribosomal protein S8 [Anoxybacillus flavithermus WK1]
fake_2M_genome_000753	gi|226309821|ref|YP_002769715.1|	88.5	61	7	0	1	61	1	61	2.7e-26	120.2	gi|226309821|ref|YP_002769715.1| 30S ribosomal protein S14 [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000754	gi|169830018|ref|YP_001700176.1|	82.6	178	31	0	3	180	2	179	3.8e-81	303.9	gi|169830018|ref|YP_001700176.1| 50S ribosomal protein L5 [Lysinibacillus sphaericus C3-41]
fake_2M_genome_000755	gi|430748625|ref|YP_007211533.1|	67.2	116	25	4	1	116	15	117	7.3e-33	142.9	gi|430748625|ref|YP_007211533.1| 50S ribosomal protein L24 [Thermobacillus composti KWC4]
fake_2M_genome_000756	gi|384136721|ref|YP_005519435.1|	85.2	122	18	0	1	122	3	124	7.3e-52	206.1	gi|384136721|ref|YP_005519435.1| 50S ribosomal protein L14 [Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1]
fake_2M_genome_000757	gi|337751716|ref|YP_004645878.1|	81.8	88	15	1	1	88	1	87	3.6e-32	140.2	gi|337751716|ref|YP_004645878.1| 30S ribosomal protein S17 [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000758	gi|375006928|ref|YP_004980558.1|	75.8	66	16	0	1	66	1	66	1.4e-18	94.7	gi|375006928|ref|YP_004980558.1| 50S ribosomal protein L29 [Geobacillus thermoleovorans CCB_US3_UF5]
fake_2M_genome_000759	gi|430748621|ref|YP_007211529.1|	86.3	139	19	0	1	139	1	139	2.5e-64	247.7	gi|430748621|ref|YP_007211529.1| 50S ribosomal protein L16 [Thermobacillus composti KWC4]
fake_2M_genome_000760	gi|375006926|ref|YP_004980556.1|	80.5	220	41	1	1	220	1	218	1.7e-99	365.2	gi|375006926|ref|YP_004980556.1| 30S ribosomal protein S3 [Geobacillus thermoleovorans CCB_US3_UF5]
fake_2M_genome_000761	gi|212637959|ref|YP_002314479.1|	75.7	111	27	0	1	111	1	111	1.1e-38	162.2	gi|212637959|ref|YP_002314479.1| 50S ribosomal protein L22 [Anoxybacillus flavithermus WK1]
fake_2M_genome_000762	gi|375006924|ref|YP_004980554.1|	83.7	92	15	0	1	92	1	92	2.6e-41	170.6	gi|375006924|ref|YP_004980554.1| 30S ribosomal protein S19 [Geobacillus thermoleovorans CCB_US3_UF5]
fake_2M_genome_000763	gi|15612700|ref|NP_241003.1|	81.8	275	50	0	1	275	1	275	2.1e-131	471.5	gi|15612700|ref|NP_241003.1| 50S ribosomal protein L2 [Bacillus halodurans C-125]
fake_2M_genome_000764	gi|386712468|ref|YP_006178790.1|	71.6	95	27	0	1	95	1	95	9.5e-31	135.6	gi|386712468|ref|YP_006178790.1| 50S ribosomal protein L23 [Halobacillus halophilus DSM 2266]
fake_2M_genome_000765	gi|375006921|ref|YP_004980551.1|	69.3	205	63	0	1	205	1	205	1e-77	292.7	gi|375006921|ref|YP_004980551.1| 50S ribosomal protein L4 [Geobacillus thermoleovorans CCB_US3_UF5]
fake_2M_genome_000766	gi|15612697|ref|NP_241000.1|	72.8	206	56	0	2	207	3	208	5.6e-84	313.5	gi|15612697|ref|NP_241000.1| 50S ribosomal protein L3 [Bacillus halodurans C-125]
fake_2M_genome_000767	gi|16077183|ref|NP_387996.1|	95.1	102	5	0	1	102	1	102	4.5e-47	189.9	gi|16077183|ref|NP_387996.1| 30S ribosomal protein S10 [Bacillus subtilis subsp. subtilis str. 168]
fake_2M_genome_000768	gi|375009102|ref|YP_004982735.1|	55.9	179	78	1	30	208	1	178	9e-53	209.9	gi|375009102|ref|YP_004982735.1| shikimate kinase [Geobacillus thermoleovorans CCB_US3_UF5]
fake_2M_genome_000769	gi|375009105|ref|YP_004982738.1|	56.9	255	110	0	1	255	1	255	3.3e-78	294.7	gi|375009105|ref|YP_004982738.1| 3-dehydroquinate dehydratase [Geobacillus thermoleovorans CCB_US3_UF5]
fake_2M_genome_000770	gi|430748611|ref|YP_007211519.1|	85.6	397	55	2	1	395	1	397	4.3e-194	680.2	gi|430748611|ref|YP_007211519.1| translation elongation factor TU [Thermobacillus composti KWC4]
fake_2M_genome_000771	gi|295694834|ref|YP_003588072.1|	81	690	131	0	1	690	1	690	0	1146.3	gi|295694834|ref|YP_003588072.1| translation elongation factor G [Kyrpidia tusciae DSM 2912]
fake_2M_genome_000772	gi|212637950|ref|YP_002314470.1|	89.1	156	17	0	1	156	1	156	2.4e-76	287.7	gi|212637950|ref|YP_002314470.1| 30S ribosomal protein S7 [Anoxybacillus flavithermus WK1]
fake_2M_genome_000773	gi|226309801|ref|YP_002769695.1|	86	136	19	0	1	136	1	136	6.3e-60	233	gi|226309801|ref|YP_002769695.1| 30S ribosomal protein S12 [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000774	gi|226309800|ref|YP_002769694.1|	64.6	82	29	0	1	82	1	82	3.5e-21	103.6	gi|226309800|ref|YP_002769694.1| ribosomal protein L7Ae-like [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000775	gi|295694830|ref|YP_003588068.1|	82.8	1185	201	2	1	1182	1	1185	0	1971.8	gi|295694830|ref|YP_003588068.1| DNA-directed RNA polymerase subunit beta' [Kyrpidia tusciae DSM 2912]
fake_2M_genome_000776	gi|226309798|ref|YP_002769692.1|	83	1182	195	3	1	1181	1	1177	0	1960.3	gi|226309798|ref|YP_002769692.1| DNA-directed RNA polymerase subunit beta [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000777	gi|430748604|ref|YP_007211512.1|	49.8	201	98	2	1	199	1	200	2.3e-50	201.8	gi|430748604|ref|YP_007211512.1| 16S RNA G1207 methylase RsmC [Thermobacillus composti KWC4]
fake_2M_genome_000778	gi|222152111|ref|YP_002561271.1|	79.3	121	25	0	1	121	1	121	1.7e-40	168.3	gi|222152111|ref|YP_002561271.1| 50S ribosomal protein L7/L12 [Macrococcus caseolyticus JCSC5402]
fake_2M_genome_000779	gi|408355475|ref|YP_006844006.1|	66.3	163	55	0	1	163	1	163	4.1e-53	210.7	gi|408355475|ref|YP_006844006.1| 50S ribosomal protein L10 [Amphibacillus xylanus NBRC 15112]
fake_2M_genome_000780	gi|15612683|ref|NP_240986.1|	76.4	225	53	0	1	225	1	225	2.3e-94	348.2	gi|15612683|ref|NP_240986.1| 50S ribosomal protein L1 [Bacillus halodurans C-125]
fake_2M_genome_000781	gi|212637941|ref|YP_002314461.1|	86.7	158	21	0	51	208	7	164	1.5e-68	262.3	gi|212637941|ref|YP_002314461.1| 50S ribosomal protein L11 [Anoxybacillus flavithermus WK1]
fake_2M_genome_000782	gi|15612681|ref|NP_240984.1|	78.5	172	36	1	1	171	7	178	1.8e-72	275	gi|15612681|ref|NP_240984.1| transcription antitermination protein NusG [Bacillus halodurans C-125]
fake_2M_genome_000784	gi|384136747|ref|YP_005519461.1|	67.3	49	16	0	1	49	1	49	6.1e-13	75.5	gi|384136747|ref|YP_005519461.1| 50S ribosomal protein L33 [Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1]
fake_2M_genome_000785	gi|337751742|ref|YP_004645904.1|	82.3	203	35	1	17	218	2	204	1.1e-87	325.9	gi|337751742|ref|YP_004645904.1| protein SigH [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000786	gi|337751743|ref|YP_004645905.1|	41.8	170	97	2	5	173	3	171	1.9e-29	132.1	gi|337751743|ref|YP_004645905.1| hypothetical protein KNP414_07541 [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000787	gi|16077164|ref|NP_387977.1|	61.7	240	91	1	3	242	6	244	5e-84	313.9	gi|16077164|ref|NP_387977.1| tRNA/rRNA methyltransferase TrmH [Bacillus subtilis subsp. subtilis str. 168]
fake_2M_genome_000788	gi|16077163|ref|NP_387976.1|	47.4	133	68	1	14	144	8	140	9.3e-30	132.9	gi|16077163|ref|NP_387976.1| mini-ribonuclease 3 [Bacillus subtilis subsp. subtilis str. 168]
fake_2M_genome_000789	gi|212637933|ref|YP_002314453.1|	60.3	466	181	4	1	464	1	464	4.6e-163	577.4	gi|212637933|ref|YP_002314453.1| cysteinyl-tRNA synthetase [Anoxybacillus flavithermus WK1]
fake_2M_genome_000790	gi|212637932|ref|YP_002314452.1|	69.7	208	63	0	86	293	12	219	1.7e-82	309.3	gi|212637932|ref|YP_002314452.1| serine acetyltransferase [Anoxybacillus flavithermus WK1]
fake_2M_genome_000791	gi|16077160|ref|NP_387973.1|	62.8	481	179	0	2	482	3	483	3.8e-184	647.5	gi|16077160|ref|NP_387973.1| glutamate--tRNA ligase [Bacillus subtilis subsp. subtilis str. 168]
fake_2M_genome_000792	gi|212637930|ref|YP_002314450.1|	77.2	158	36	0	1	158	2	159	2.9e-64	247.7	gi|212637930|ref|YP_002314450.1| 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Anoxybacillus flavithermus WK1]
fake_2M_genome_000793	gi|430748582|ref|YP_007211490.1|	55.6	214	95	0	6	219	18	231	7.2e-61	236.9	gi|430748582|ref|YP_007211490.1| 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase/2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Thermobacillus composti KWC4]
fake_2M_genome_000794	gi|226309780|ref|YP_002769674.1|	72.3	364	99	2	1	364	1	362	1.4e-143	512.3	gi|226309780|ref|YP_002769674.1| hypothetical protein BBR47_01930 [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000795	gi|296131792|ref|YP_003639039.1|	67.7	158	51	0	1	158	1	158	4.5e-57	223.8	gi|296131792|ref|YP_003639039.1| CarD family transcriptional regulator [Thermincola potens JR]
